,artist,track,Week,Ranking
1420,"Strait, George",Go On,5,53
1421,Sisqo,Got To Get It,5,48
1422,Baha Men,Who Let The Dogs Out,5,65
1423,"Walker, Clay",The Chain Of Love,5,51
1424,"McBride, Martina",Love's The Only House,5,53
1425,Amber,Sexual (Li Da Di),5,100
1426,"Tippin, Aaron",Kiss This,5,52
1427,SheDaisy,I Will.. But,5,59
1428,"Raye, Collin",Couldn't Last A Moment,5,67
1429,Black Rob,Whoa!,5,47
1430,"Jackson, Alan",Pop A Top,5,63
1431,"Black, Clint",Been There,5,58
1432,Common,The Light,5,46
1433,"Vassar, Phil",Carlene,5,57
1434,"Jackson, Alan",www.memory,5,50
1435,Vitamin C,The Itch,5,57
1436,"Eastsidaz, The",G'D Up,5,57
1437,Ideal,Whatever,5,64
1438,"Thomas, Carl",Emotional,5,54
1439,Ginuwine,None Of Ur Friends Business,5,60
1440,"Davidson, Clay",Unconditional,5,83
1441,DMX,What You Want,5,86
1442,"John, Elton",Someday Out Of The Blue,5,67
1443,Pearl Jam,Nothing As It Seems,5,93
1444,Mya,The Best Of Me,5,55
1445,"Heatherly, Eric",Flowers On The Wall,5,82
1446,Eminem,Stan,5,51
1447,"McEntire, Reba",I'll Be,5,69
1448,"Lopez, Jennifer",Feelin' Good,5,54
1449,"Urban, Keith",Your Everything,5,67
1450,TLC,Dear Lie,5,56
1451,"Gill, Vince",Feels Like Love,5,73
1452,"Houston, Whitney",Could I Have This Kiss Forever,5,59
1453,Bloodhound Gang,The Bad Touch,5,52
1454,"Williams, Robbie",Angels,5,62
1455,"Messina, Jo Dee",Because You Love Me,5,66
1456,"Keith, Toby",Country Comes To Town,5,66
1457,Beenie Man,Girls Dem Sugar,5,62
1458,"Hill, Faith",Let's Make Love,5,67
1459,Kelis,Caught Out There,5,63
1460,Jay-Z,Anything,5,63
1461,3 Doors Down,Loser,5,67
1462,Brooks & Dunn,You'll Always Be Loved By Me,5,83
1463,"Chesney, Kenny",What I Need To Do,5,69
1464,"Stone, Angie",No More Rain (In This Cloud),5,56
1465,Da Brat,That's What I'm Looking For,5,60
1466,SheDaisy,This Woman Needs,5,57
1467,Papa Roach,Last Resort,5,66
1468,"Adams, Yolanda",Open My Heart,5,68
1469,Shyne,Bad Boyz,5,82
1470,R.E.M.,The Great Beyond,5,60
1471,"Diffie, Joe",It's Always Somethin',5,60
1472,"McGraw, Tim",Some Things Never Change,5,63
1473,"Henley, Don",Taking You Home,5,66
1474,Eminem,The Way I Am,5,59
1475,Nas,You Owe Me,5,59
1476,Sister Hazel,Change Your Mind,5,63
1477,Puff Daddy,Best Friend,5,99
1478,"McBride, Martina",There You Are,5,73
1479,Usher,Pop Ya Collar,5,62
1480,Lil' Kim,No Matter What They Say,5,65
1481,LFO,I Don't Wanna Kiss You Goodnight,5,91
1482,SheDaisy,Deck The Halls,5,101
1483,Splender,I Think God Can Explain,5,62
1484,"Simpson, Jessica",Where You Are,5,76
1485,M2M,Mirror Mirror,5,75
1486,Kumbia Kings,U Don't Love Me,5,70
1487,Joe,Treat Her Like A Lady,5,69
1488,"Blige, Mary J.",Deep Inside,5,75
1489,"Price, Kelly",You Should've Told Me,5,86
1490,Changing Faces,That Other Woman,5,64
1491,"Wright, Chely",It Was,5,71
1492,Limp Bizkit,Rollin',5,65
1493,Hot Boys,I Need A Hot Girl,5,65
1494,Jay-Z,Do It Again (Put Ya Hands Up),5,74
1495,"Adkins, Trace",More,5,73
1496,"Dixie Chicks, The",Cold Day In July,5,68
1497,"Price, Kelly",As We Lay,5,71
1498,DMX,What's My Name,5,67
1499,"Martin, Ricky",Private Emotion,5,89
1500,Nine Days,If I Am,5,100
1501,"Blige, Mary J.",Give Me You,5,68
1502,Red Hot Chili Peppers,Californication,5,79
1503,Third Eye Blind,Deep Inside Of You,5,70
1504,"Brooks, Garth",Do What You Gotta Do,5,69
1505,"Offspring, The",Original Prankster,5,77
1506,"Anthony, Marc",My Baby You,5,82
1507,"Houston, Whitney","Same Script, Different Cast",5,70
1508,D'Angelo,Left & Right,5,91
1509,"Kravitz, Lenny",I Belong To You,5,71
1510,"Loveless, Patty",That's The Kind Of Mood I'm In,5,88
1511,Q-Tip,Breathe And Stop,5,96
1512,"Rimes, LeAnn",Can't Fight The Moonlight,5,96
1513,Lil Wayne,Tha Block Is Hot,5,84
1514,2 Pac,Baby Don't Cry (Keep Ya Head Up II),5,87
1515,"Wallflowers, The",Sleepwalker,5,90
1516,Drama,"Left, Right, Left",5,75
1517,Limp Bizkit,N 2 Gether Now,5,78
1518,Lox,"Ryde or Die, Chick",5,91
1519,Ying Yang Twins,Whistle While You Twurk,5,84
1520,"Walker, Clay","Live, Laugh, Love",5,94
1521,Metallica,No Leaf Clover (Live),5,74
1522,Yankee Grey,Another Nine Minutes,5,83
1523,"Bega, Lou",Tricky Tricky ,5,101
1524,Big Punisher,It's So Hard,5,81
1525,"Worley, Darryl",When You Need My Love,5,85
1526,Lil' Kim,How Many Licks?,5,86
1527,"Clark, Terri",A Little Gasoline,5,99
1528,"Brock, Chad",A Country Boy Can Survive,5,101
1529,"Cagle, Chris",My Love Goes On And On,5,84
1530,"Byrd, Tracy",Put Your Hand In Mine,5,86
1531,Metallica,I Disappear,5,81
1532,Jay-Z,Hey Papi,5,83
1533,Fatboy Slim,The Rockafeller Skank,5,77
1534,"Levert, Gerald",Mr. Too Damn Good,5,86
1535,"McKnight, Brian",Stay Or Let It Go,5,76
1536,"Allan, Gary",Smoke Rings In The Dark,5,92
1537,Ginuwine,The Best Man I Can Be,5,84
1538,Before Dark,Monica,5,77
1539,"Estefan, Gloria",No Me Dejes De Querer,5,101
1540,Stone Temple Pilots,Sour Girl,5,78
1541,Montgomery Gentry,Daddy Won't Sell The Farm,5,81
1542,"Cyrus, Billy Ray",You Won't Be Lonely Now,5,91
1543,Clark Family Experience,Meanwhile Back At The Ranch,5,80
1544,"Thomas, Carl",Summer Rain,5,82
1545,"Yearwood, Trisha",Real Live Woman,5,81
1546,Trick Daddy,Shut Up,5,83
1547,"Moore, Chante",Straight Up,5,85
1548,Cam'ron,What Means The World To You,5,84
1549,Juvenile,U Understand,5,97
1550,"Hollister, Dave",Can't Stay,5,101
1551,Tamia,Can't Go For That,5,97
1552,LFO,West Side Story,5,101
1553,"Paisley, Brad",Me Neither,5,101
1554,"Carter, Torrey",Take That,5,89
1555,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),5,101
1556,Madison Avenue,Don't Call Me Baby,5,93
1557,Eve,Got It All,5,95
1558,Limp Bizkit,Re-Arranged,5,95
1559,"Spencer, Tracie",Still In My Heart,5,101
1560,Nu Flavor,3 Little Words,5,94
1561,Tamar,If You Don't Wanna Love Me,5,92
1562,"Levert, Gerald",Baby U Are,5,96
1563,"Hart, Beth",L.A. Song,5,99
1564,"Diffie, Joe",The Quittin' Kind,5,93
1565,Funkmaster Flex,Do You,5,91
1566,"Price, Kelly",Love Sets You Free,5,101
1567,En Vogue,Riddle,5,101
1568,"Herndon, Ty",No Mercy,5,101
1569,Anastacia,I'm Outta Love,5,101
1570,Trina,Pull Over,5,101
1571,Lil' Mo,Ta Da,5,100
1572,A*Teens,Dancing Queen,5,100
1573,"Sheist, Shade",Where I Wanna Be,5,100
1574,De La Soul,All Good?,5,101
1575,"Larrieux, Amel",Get Up,5,101
1576,"Braxton, Toni",Spanish Guitar,5,101
1577,Tuesday,I Know,5,101
1578,LL Cool J,Imagine That,5,101
1579,Master P,Souljas,5,101
1580,Ghostface Killah,Cherchez LaGhost,5,101
1581,"Smith, Will",Freakin' It,5,101
1582,Zombie Nation,Kernkraft 400,5,101
1583,"Eastsidaz, The",Got Beef,5,101
1584,Fragma,Toca's Miracle,5,101
1585,Destiny's Child,Independent Women Part I,6,15
1586,Santana,"Maria, Maria",6,3
1587,Savage Garden,I Knew I Loved You,6,13
1588,Madonna,Music,6,1
1589,"Aguilera, Christina",Come On Over Baby (All I Want Is You),6,18
1590,Janet,Doesn't Really Matter,6,22
1591,Destiny's Child,Say My Name,6,13
1592,"Iglesias, Enrique",Be With You,6,12
1593,Sisqo,Incomplete,6,55
1594,Lonestar,Amazed,6,33
1595,N'Sync,It's Gonna Be Me,6,19
1596,"Aguilera, Christina",What A Girl Wants,6,13
1597,Vertical Horizon,Everything You Want,6,33
1598,Creed,With Arms Wide Open,6,68
1599,Aaliyah,Try Again,6,18
1600,matchbox twenty,Bent,6,21
1601,"Carey, Mariah",Thank God I Found You,6,37
1602,"Hill, Faith",Breathe,6,35
1603,Mya,Case Of The Ex (Whatcha Gonna Do),6,31
1604,Dream,He Loves U Not,6,42
1605,"Braxton, Toni",He Wasn't Man Enough,6,24
1606,"Anthony, Marc",You Sang To Me,6,27
1607,98¡,Give Me Just One Night (Una Noche),6,19
1608,Destiny's Child,Jumpin' Jumpin',6,50
1609,3 Doors Down,Kryptonite,6,57
1610,Sisqo,Thong Song,6,23
1611,"Aguilera, Christina",I Turn To You,6,19
1612,"Houston, Whitney",My Love Is Your Love,6,9
1613,Joe,I Wanna Know,6,33
1614,"Jordan, Montell",Get It On.. Tonite,6,61
1615,N'Sync,Bye Bye Bye,6,7
1616,Eminem,The Real Slim Shady,6,7
1617,Pink,Most Girls,6,21
1618,"Mumba, Samantha",Gotta Tell You,6,25
1619,Blaque,Bring It All To Me,6,19
1620,"Elliott, Missy ""Misdemeanor""",Hot Boyz,6,7
1621,"Gray, Macy",I Try,6,20
1622,N'Sync,This I Promise You,6,6
1623,Ruff Endz,No More,6,15
1624,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,6,14
1625,Nine Days,Absolutely (Story Of A Girl),6,34
1626,"Dion, Celine",That's The Way It Is,6,34
1627,Blink-182,All The Small Things,6,51
1628,Eiffel 65,Blue (Da Ba Dee),6,11
1629,"Badu, Erkyah",Bag Lady,6,42
1630,Pink,There U Go,6,7
1631,Creed,Higher,6,58
1632,Nelly,(Hot S**t) Country Grammar,6,37
1633,Next,Wifey,6,31
1634,Kenny G,Auld Lang Syne (The Millenium Mix),6,101
1635,Sonique,It Feels So Good,6,17
1636,"Spears, Britney",Oops!.. I Did It Again,6,13
1637,"Backstreet Boys, The",Shape Of My Heart,6,12
1638,Everclear,Wonderful,6,25
1639,Ja Rule,Between Me And You,6,22
1640,"Rimes, LeAnn",I Need You,6,59
1641,Smash Mouth,Then The Morning Comes,6,23
1642,Jay-Z,I Just Wanna Love U (Give It 2 Me),6,19
1643,Jagged Edge,Let's Get Married,6,42
1644,Filter,Take A Picture,6,38
1645,"Martin, Ricky",She Bangs,6,16
1646,Mystikal,Shake Ya Ass,6,25
1647,BBMak,Back Here,6,34
1648,"Spears, Britney",From The Bottom Of My Broken Heart,6,14
1649,Third Eye Blind,Never Let You Go,6,22
1650,Red Hot Chili Peppers,Otherside,6,49
1651,Profyle,Liar,6,16
1652,Barenaked Ladies,Pinch Me,6,37
1653,Jagged Edge,He Can't Love U,6,18
1654,504 Boyz,Wobble Wobble,6,31
1655,Sting,Desert Rose,6,52
1656,Jay-Z,Big Pimpin',6,25
1657,Kid Rock,Only God Knows Why,6,26
1658,Foo Fighters,Learn To Fly,6,52
1659,"Dixie Chicks, The",Goodbye Earl,6,20
1660,Guy,Dancin',6,44
1661,Lil Bow Wow,Bounce With Me,6,20
1662,Westlife,Swear It Again,6,46
1663,Train,Meet Virginia,6,45
1664,"Thomas, Carl",I Wish,6,28
1665,Hanson,This Time Around,6,71
1666,"Simpson, Jessica",I Think I'm In Love With You,6,23
1667,Ludacris,What's Your Fantasy,6,40
1668,Lil' Zane,Callin' Me,6,21
1669,M2M,Don't Say You Love Me,6,44
1670,SoulDecision,Faded,6,43
1671,"Brock, Chad",Yes!,6,47
1672,"Martin, Ricky",Shake Your Bon-Bon,6,39
1673,Vertical Horizon,You're A God,6,31
1674,Avant,Separated,6,30
1675,"Rimes, LeAnn",Big Deal,6,48
1676,IMx,Stay The Night,6,38
1677,Dr. Dre,The Next Episode,6,41
1678,"Spears, Britney",Lucky,6,29
1679,Savage Garden,Crash And Burn,6,31
1680,Kandi,Don't Think I'm Not,6,42
1681,Sammie,I Like It,6,33
1682,Goo Goo Dolls,Broadway,6,31
1683,"Moore, Mandy",I Wanna Be With You,6,42
1684,Dr. Dre,Forgot About Dre,6,30
1685,D'Angelo,Untitled (How Does It Feel),6,25
1686,"Messina, Jo Dee",That's The Way,6,44
1687,Avant,My First Love,6,33
1688,Son By Four,A Puro Dolor (Purest Of Pain),6,73
1689,Da Brat,What'Chu Like,6,41
1690,DMX,Party Up (Up In Here),6,44
1691,"Dixie Chicks, The",Cowboy Take Me Away,6,52
1692,"McGraw, Tim",My Next Thirty Years,6,40
1693,"Tritt, Travis",Best Of Intentions,6,56
1694,Alice Deejay,Better Off Alone,6,36
1695,Hoku,Another Dumb Blonde,6,34
1696,"Houston, Whitney",I Learned From The Best,6,27
1697,Counting Crows,Hanginaround,6,37
1698,Mary Mary,Shackles (Praise You),6,37
1699,"Carey, Mariah",Crybaby,6,90
1700,"McGraw, Tim",My Best Friend,6,54
1701,Sugar Ray,Falls Apart,6,29
1702,Madonna,American Pie,6,32
1703,"Jones, Donell",Where I Wanna Be,6,41
1704,"Paisley, Brad",We Danced,6,42
1705,Lonestar,What About Now,6,50
1706,"Backstreet Boys, The",The One,6,30
1707,"Keith, Toby",How Do You Like Me Now?!,6,43
1708,"Strait, George",The Best Day,6,44
1709,"Dixie Chicks, The",Without You,6,49
1710,Musiq,Just Friends (Sunny),6,54
1711,"McEntire, Reba",What Do You Say,6,63
1712,"Braxton, Toni",Just Be A Man About It,6,32
1713,"Iglesias, Enrique",Rhythm Divine,6,39
1714,"Fabian, Lara",I Will Love Again,6,52
1715,Bon Jovi,It's My Life,6,45
1716,"Evans, Sara",Born To Fly,6,51
1717,"Chesney, Kenny",I Lost It,6,53
1718,J-Shin,One Night Stand,6,62
1719,Eve,Love Is Blind,6,40
1720,Aaliyah,I Don't Wanna,6,35
1721,"Montgomery, John Michael",The Little Girl,6,41
1722,"Carter, Aaron",Aaron's Party (Come Get It),6,37
1723,"Vassar, Phil",Just Another Day In Paradise,6,46
1724,Ice Cube,You Can Do It,6,40
1725,"Wills, Mark",Back At One,6,37
1726,Lucy Pearl,Dance Tonight,6,49
1727,"Jackson, Alan",It Must Be Love,6,49
1728,"Griggs, Andy",She's More,6,55
1729,No Doubt,Simple Kind Of Life,6,48
1730,"Jean, Wyclef",911,6,48
1731,Rascal Flatts,Prayin' For Daylight,6,64
1732,Vitamin C,Graduation (Friends Forever),6,40
1733,"Gilman, Billy",One Voice,6,56
1734,Lonestar,Smile,6,47
1735,"Rogers, Kenny",Buy Me A Rose,6,46
1736,"Lawrence, Tracy",Lessons Learned,6,48
1737,"Strait, George",Go On,6,48
1738,Sisqo,Got To Get It,6,48
1739,Baha Men,Who Let The Dogs Out,6,54
1740,"Walker, Clay",The Chain Of Love,6,48
1741,"McBride, Martina",Love's The Only House,6,52
1742,Amber,Sexual (Li Da Di),6,93
1743,"Tippin, Aaron",Kiss This,6,47
1744,SheDaisy,I Will.. But,6,52
1745,"Raye, Collin",Couldn't Last A Moment,6,63
1746,Black Rob,Whoa!,6,46
1747,"Jackson, Alan",Pop A Top,6,57
1748,"Black, Clint",Been There,6,57
1749,Common,The Light,6,44
1750,"Vassar, Phil",Carlene,6,53
1751,"Jackson, Alan",www.memory,6,49
1752,Vitamin C,The Itch,6,58
1753,"Eastsidaz, The",G'D Up,6,47
1754,Ideal,Whatever,6,56
1755,"Thomas, Carl",Emotional,6,47
1756,Ginuwine,None Of Ur Friends Business,6,63
1757,"Davidson, Clay",Unconditional,6,78
1758,DMX,What You Want,6,79
1759,"John, Elton",Someday Out Of The Blue,6,60
1760,Pearl Jam,Nothing As It Seems,6,91
1761,Mya,The Best Of Me,6,50
1762,"Heatherly, Eric",Flowers On The Wall,6,77
1763,Eminem,Stan,6,51
1764,"McEntire, Reba",I'll Be,6,64
1765,"Lopez, Jennifer",Feelin' Good,6,54
1766,"Urban, Keith",Your Everything,6,64
1767,TLC,Dear Lie,6,74
1768,"Gill, Vince",Feels Like Love,6,65
1769,"Houston, Whitney",Could I Have This Kiss Forever,6,59
1770,Bloodhound Gang,The Bad Touch,6,57
1771,"Williams, Robbie",Angels,6,56
1772,"Messina, Jo Dee",Because You Love Me,6,55
1773,"Keith, Toby",Country Comes To Town,6,62
1774,Beenie Man,Girls Dem Sugar,6,63
1775,"Hill, Faith",Let's Make Love,6,60
1776,Kelis,Caught Out There,6,54
1777,Jay-Z,Anything,6,74
1778,3 Doors Down,Loser,6,65
1779,Brooks & Dunn,You'll Always Be Loved By Me,6,83
1780,"Chesney, Kenny",What I Need To Do,6,69
1781,"Stone, Angie",No More Rain (In This Cloud),6,60
1782,Da Brat,That's What I'm Looking For,6,60
1783,SheDaisy,This Woman Needs,6,57
1784,Papa Roach,Last Resort,6,64
1785,"Adams, Yolanda",Open My Heart,6,67
1786,Shyne,Bad Boyz,6,67
1787,R.E.M.,The Great Beyond,6,57
1788,"Diffie, Joe",It's Always Somethin',6,57
1789,"McGraw, Tim",Some Things Never Change,6,60
1790,"Henley, Don",Taking You Home,6,62
1791,Eminem,The Way I Am,6,58
1792,Nas,You Owe Me,6,59
1793,Sister Hazel,Change Your Mind,6,71
1794,Puff Daddy,Best Friend,6,101
1795,"McBride, Martina",There You Are,6,64
1796,Usher,Pop Ya Collar,6,79
1797,Lil' Kim,No Matter What They Say,6,73
1798,LFO,I Don't Wanna Kiss You Goodnight,6,101
1799,SheDaisy,Deck The Halls,6,101
1800,Splender,I Think God Can Explain,6,64
1801,"Simpson, Jessica",Where You Are,6,93
1802,M2M,Mirror Mirror,6,68
1803,Kumbia Kings,U Don't Love Me,6,70
1804,Joe,Treat Her Like A Lady,6,64
1805,"Blige, Mary J.",Deep Inside,6,73
1806,"Price, Kelly",You Should've Told Me,6,79
1807,Changing Faces,That Other Woman,6,76
1808,"Wright, Chely",It Was,6,69
1809,Limp Bizkit,Rollin',6,65
1810,Hot Boys,I Need A Hot Girl,6,70
1811,Jay-Z,Do It Again (Put Ya Hands Up),6,84
1812,"Adkins, Trace",More,6,69
1813,"Dixie Chicks, The",Cold Day In July,6,68
1814,"Price, Kelly",As We Lay,6,79
1815,DMX,What's My Name,6,73
1816,"Martin, Ricky",Private Emotion,6,101
1817,Nine Days,If I Am,6,101
1818,"Blige, Mary J.",Give Me You,6,77
1819,Red Hot Chili Peppers,Californication,6,77
1820,Third Eye Blind,Deep Inside Of You,6,69
1821,"Brooks, Garth",Do What You Gotta Do,6,77
1822,"Offspring, The",Original Prankster,6,78
1823,"Anthony, Marc",My Baby You,6,81
1824,"Houston, Whitney","Same Script, Different Cast",6,75
1825,D'Angelo,Left & Right,6,101
1826,"Kravitz, Lenny",I Belong To You,6,83
1827,"Loveless, Patty",That's The Kind Of Mood I'm In,6,88
1828,Q-Tip,Breathe And Stop,6,101
1829,"Rimes, LeAnn",Can't Fight The Moonlight,6,99
1830,Lil Wayne,Tha Block Is Hot,6,72
1831,2 Pac,Baby Don't Cry (Keep Ya Head Up II),6,94
1832,"Wallflowers, The",Sleepwalker,6,96
1833,Drama,"Left, Right, Left",6,73
1834,Limp Bizkit,N 2 Gether Now,6,73
1835,Lox,"Ryde or Die, Chick",6,97
1836,Ying Yang Twins,Whistle While You Twurk,6,78
1837,"Walker, Clay","Live, Laugh, Love",6,95
1838,Metallica,No Leaf Clover (Live),6,80
1839,Yankee Grey,Another Nine Minutes,6,79
1840,"Bega, Lou",Tricky Tricky ,6,101
1841,Big Punisher,It's So Hard,6,81
1842,"Worley, Darryl",When You Need My Love,6,85
1843,Lil' Kim,How Many Licks?,6,89
1844,"Clark, Terri",A Little Gasoline,6,99
1845,"Brock, Chad",A Country Boy Can Survive,6,101
1846,"Cagle, Chris",My Love Goes On And On,6,83
1847,"Byrd, Tracy",Put Your Hand In Mine,6,88
1848,Metallica,I Disappear,6,76
1849,Jay-Z,Hey Papi,6,83
1850,Fatboy Slim,The Rockafeller Skank,6,77
1851,"Levert, Gerald",Mr. Too Damn Good,6,86
1852,"McKnight, Brian",Stay Or Let It Go,6,88
1853,"Allan, Gary",Smoke Rings In The Dark,6,101
1854,Ginuwine,The Best Man I Can Be,6,88
1855,Before Dark,Monica,6,87
1856,"Estefan, Gloria",No Me Dejes De Querer,6,101
1857,Stone Temple Pilots,Sour Girl,6,87
1858,Montgomery Gentry,Daddy Won't Sell The Farm,6,96
1859,"Cyrus, Billy Ray",You Won't Be Lonely Now,6,88
1860,Clark Family Experience,Meanwhile Back At The Ranch,6,80
1861,"Thomas, Carl",Summer Rain,6,83
1862,"Yearwood, Trisha",Real Live Woman,6,91
1863,Trick Daddy,Shut Up,6,83
1864,"Moore, Chante",Straight Up,6,83
1865,Cam'ron,What Means The World To You,6,83
1866,Juvenile,U Understand,6,96
1867,"Hollister, Dave",Can't Stay,6,101
1868,Tamia,Can't Go For That,6,101
1869,LFO,West Side Story,6,101
1870,"Paisley, Brad",Me Neither,6,101
1871,"Carter, Torrey",Take That,6,87
1872,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),6,101
1873,Madison Avenue,Don't Call Me Baby,6,92
1874,Eve,Got It All,6,101
1875,Limp Bizkit,Re-Arranged,6,99
1876,"Spencer, Tracie",Still In My Heart,6,101
1877,Nu Flavor,3 Little Words,6,90
1878,Tamar,If You Don't Wanna Love Me,6,93
1879,"Levert, Gerald",Baby U Are,6,101
1880,"Hart, Beth",L.A. Song,6,99
1881,"Diffie, Joe",The Quittin' Kind,6,94
1882,Funkmaster Flex,Do You,6,94
1883,"Price, Kelly",Love Sets You Free,6,101
1884,En Vogue,Riddle,6,101
1885,"Herndon, Ty",No Mercy,6,98
1886,Anastacia,I'm Outta Love,6,101
1887,Trina,Pull Over,6,101
1888,Lil' Mo,Ta Da,6,95
1889,A*Teens,Dancing Queen,6,101
1890,"Sheist, Shade",Where I Wanna Be,6,101
1891,De La Soul,All Good?,6,101
1892,"Larrieux, Amel",Get Up,6,101
1893,"Braxton, Toni",Spanish Guitar,6,101
1894,Tuesday,I Know,6,101
1895,LL Cool J,Imagine That,6,101
1896,Master P,Souljas,6,101
1897,Ghostface Killah,Cherchez LaGhost,6,101
1898,"Smith, Will",Freakin' It,6,101
1899,Zombie Nation,Kernkraft 400,6,101
1900,"Eastsidaz, The",Got Beef,6,101
1901,Fragma,Toca's Miracle,6,101
1902,Destiny's Child,Independent Women Part I,7,7
1903,Santana,"Maria, Maria",7,2
1904,Savage Garden,I Knew I Loved You,7,7
1905,Madonna,Music,7,1
1906,"Aguilera, Christina",Come On Over Baby (All I Want Is You),7,11
1907,Janet,Doesn't Really Matter,7,15
1908,Destiny's Child,Say My Name,7,16
1909,"Iglesias, Enrique",Be With You,7,9
1910,Sisqo,Incomplete,7,2
1911,Lonestar,Amazed,7,29
1912,N'Sync,It's Gonna Be Me,7,15
1913,"Aguilera, Christina",What A Girl Wants,7,11
1914,Vertical Horizon,Everything You Want,7,31
1915,Creed,With Arms Wide Open,7,74
1916,Aaliyah,Try Again,7,16
1917,matchbox twenty,Bent,7,18
1918,"Carey, Mariah",Thank God I Found You,7,26
1919,"Hill, Faith",Breathe,7,28
1920,Mya,Case Of The Ex (Whatcha Gonna Do),7,24
1921,Dream,He Loves U Not,7,32
1922,"Braxton, Toni",He Wasn't Man Enough,7,3
1923,"Anthony, Marc",You Sang To Me,7,21
1924,98¡,Give Me Just One Night (Una Noche),7,2
1925,Destiny's Child,Jumpin' Jumpin',7,40
1926,3 Doors Down,Kryptonite,7,54
1927,Sisqo,Thong Song,7,20
1928,"Aguilera, Christina",I Turn To You,7,20
1929,"Houston, Whitney",My Love Is Your Love,7,8
1930,Joe,I Wanna Know,7,32
1931,"Jordan, Montell",Get It On.. Tonite,7,54
1932,N'Sync,Bye Bye Bye,7,6
1933,Eminem,The Real Slim Shady,7,6
1934,Pink,Most Girls,7,15
1935,"Mumba, Samantha",Gotta Tell You,7,20
1936,Blaque,Bring It All To Me,7,17
1937,"Elliott, Missy ""Misdemeanor""",Hot Boyz,7,5
1938,"Gray, Macy",I Try,7,15
1939,N'Sync,This I Promise You,7,7
1940,Ruff Endz,No More,7,12
1941,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,7,12
1942,Nine Days,Absolutely (Story Of A Girl),7,26
1943,"Dion, Celine",That's The Way It Is,7,30
1944,Blink-182,All The Small Things,7,50
1945,Eiffel 65,Blue (Da Ba Dee),7,9
1946,"Badu, Erkyah",Bag Lady,7,34
1947,Pink,There U Go,7,7
1948,Creed,Higher,7,56
1949,Nelly,(Hot S**t) Country Grammar,7,24
1950,Next,Wifey,7,25
1951,Kenny G,Auld Lang Syne (The Millenium Mix),7,101
1952,Sonique,It Feels So Good,7,16
1953,"Spears, Britney",Oops!.. I Did It Again,7,12
1954,"Backstreet Boys, The",Shape Of My Heart,7,10
1955,Everclear,Wonderful,7,24
1956,Ja Rule,Between Me And You,7,22
1957,"Rimes, LeAnn",I Need You,7,59
1958,Smash Mouth,Then The Morning Comes,7,19
1959,Jay-Z,I Just Wanna Love U (Give It 2 Me),7,14
1960,Jagged Edge,Let's Get Married,7,33
1961,Filter,Take A Picture,7,34
1962,"Martin, Ricky",She Bangs,7,13
1963,Mystikal,Shake Ya Ass,7,22
1964,BBMak,Back Here,7,28
1965,"Spears, Britney",From The Bottom Of My Broken Heart,7,17
1966,Third Eye Blind,Never Let You Go,7,22
1967,Red Hot Chili Peppers,Otherside,7,40
1968,Profyle,Liar,7,14
1969,Barenaked Ladies,Pinch Me,7,33
1970,Jagged Edge,He Can't Love U,7,18
1971,504 Boyz,Wobble Wobble,7,36
1972,Sting,Desert Rose,7,45
1973,Jay-Z,Big Pimpin',7,25
1974,Kid Rock,Only God Knows Why,7,26
1975,Foo Fighters,Learn To Fly,7,42
1976,"Dixie Chicks, The",Goodbye Earl,7,20
1977,Guy,Dancin',7,58
1978,Lil Bow Wow,Bounce With Me,7,20
1979,Westlife,Swear It Again,7,44
1980,Train,Meet Virginia,7,40
1981,"Thomas, Carl",I Wish,7,24
1982,Hanson,This Time Around,7,95
1983,"Simpson, Jessica",I Think I'm In Love With You,7,21
1984,Ludacris,What's Your Fantasy,7,33
1985,Lil' Zane,Callin' Me,7,33
1986,M2M,Don't Say You Love Me,7,44
1987,SoulDecision,Faded,7,35
1988,"Brock, Chad",Yes!,7,39
1989,"Martin, Ricky",Shake Your Bon-Bon,7,39
1990,Vertical Horizon,You're A God,7,30
1991,Avant,Separated,7,35
1992,"Rimes, LeAnn",Big Deal,7,41
1993,IMx,Stay The Night,7,36
1994,Dr. Dre,The Next Episode,7,32
1995,"Spears, Britney",Lucky,7,30
1996,Savage Garden,Crash And Burn,7,26
1997,Kandi,Don't Think I'm Not,7,36
1998,Sammie,I Like It,7,30
1999,Goo Goo Dolls,Broadway,7,29
2000,"Moore, Mandy",I Wanna Be With You,7,31
2001,Dr. Dre,Forgot About Dre,7,30
2002,D'Angelo,Untitled (How Does It Feel),7,28
2003,"Messina, Jo Dee",That's The Way,7,38
2004,Avant,My First Love,7,26
2005,Son By Four,A Puro Dolor (Purest Of Pain),7,65
2006,Da Brat,What'Chu Like,7,41
2007,DMX,Party Up (Up In Here),7,38
2008,"Dixie Chicks, The",Cowboy Take Me Away,7,52
2009,"McGraw, Tim",My Next Thirty Years,7,36
2010,"Tritt, Travis",Best Of Intentions,7,50
2011,Alice Deejay,Better Off Alone,7,34
2012,Hoku,Another Dumb Blonde,7,30
2013,"Houston, Whitney",I Learned From The Best,7,28
2014,Counting Crows,Hanginaround,7,35
2015,Mary Mary,Shackles (Praise You),7,34
2016,"Carey, Mariah",Crybaby,7,95
